Seafood Item Category ,Taxon (common name),Location of Study,"Mean Hg Concentration
(ppm, wet weight)",Number of Samples,Data Source (See Supplemental Material for References)
Flounder,flounder-gulf,US,0.130,1,(USEPA 2011a)
Flounder,flounder-gulf,US,0.166,40,(Hall et al. 1978)
Flounder,flounder-gulf,US-Florida,0.239,190,(Adams et al. 2003)
Flounder,flounder-marbled,Japan,0.056,5,(Yamashita et al. 2005)
Flounder,flounder-southern,US,0.083,126,(USEPA 2011a)
Flounder,flounder-southern,US,0.095,42,(Hall et al. 1978)
Flounder,flounder-southern,US,0.050,3,(USEPA 2011a)
Flounder,flounder-southern,US-Louisiana,0.112,7,(State of Louisiana 2011)
Flounder,flounder-southern,US-Louisiana,0.061,35,(State of Louisiana 2011)
Flounder,flounder-southern,US-Florida,0.130,67,(Adams et al. 2003)
Flounder,flounder-starry,US-Pacific,0.021,40,(USEPA 2004)
Flounder,flounder-starry,US,0.080,1,(USEPA 2011a)
Flounder,flounder-starry,US-Washington,0.029,4,(Lower Duwamish Waterway Group 2005)
Flounder,flounder-starry,US-California,0.050,2,(San Francisco Estuary Institute 2007)
Flounder,flounder-summer,US-New Jersey,0.140,258,(Burger et al. 2009)
Flounder,flounder-summer,US- New York Bight,0.036,14,(Deshpande et al. 2000)
Flounder,flounder-summer,US-Atlantic,0.047,4,"(Delaware River Basin Commission, 2011)"
Flounder,flounder-summer,US-Atlantic,0.016,5,(USEPA 2011b)
Flounder,flounder-summer,US-Atlantic,0.035,30,(USEPA 2006a)
Flounder,flounder-summer,US,0.062,12,(USEPA 2011a)
Flounder,flounder-summer,US-Atlantic,0.065,10,(USEPA 2008)
Flounder,flounder-summer,US,0.151,42,(Hall et al. 1978)
Flounder,flounder-summer,"(market, US-NYC)",0.150,1,(McKelvey et al. 2010; McKelvey unpublished data)
Flounder,flounder-summer,US-Rhode Island,0.092,10,(Payne and Taylor 2010)
Flounder,flounder-summer,US-Delaware,0.119,11,(State of Delaware 2010)
Flounder,flounder-summer,US-New Jersey,0.093,12,(State of New Jersey 2008)
Flounder,flounder-summer,US-Virginia,0.005,1,(State of Virginia 2009)
Flounder,flounder-summer,US-Virginia,0.184,11,(State of Virginia 2009)
Flounder,flounder-summer,US-Atlantic,0.096,3,(Gerhart 1977)
Flounder,flounder-summer,US-Florida,0.040,3,(Adams et al. 2003)
Flounder,flounder-windowpane,US-New Jersey,0.180,48,(Burger et al. 2009)
Flounder,flounder-windowpane,US-Atlantic,0.149,3,(Gerhart 1977)
Flounder,flounder-windowpane,US,0.113,12,(USEPA 2011a)
Flounder,flounder-windowpane,US,0.111,18,(Hall et al. 1978)
Flounder,flounder-windowpane,"(market, US-NYC)",0.105,3,(McKelvey et al. 2010; McKelvey unpublished data)
Flounder,flounder-winter,US-New Jersey,0.060,58,(Burger et al. 2009)
Flounder,flounder-winter,US-Atlantic,0.057,3,(Gerhart 1977)
Flounder,flounder-winter,US,0.146,20,(USEPA 2011a)
Flounder,flounder-winter,US-Atlantic,0.025,32,(USEPA 2008)
Flounder,flounder-winter,US,0.098,123,(Hall et al. 1978)
Flounder,flounder-winter,US-NY-Long Island Sound,0.021,41,(Hammerschmidt and Fitzgerald 2006)
Flounder,flounder-winter,US-Rhode Island,0.026,10,(Payne and Taylor 2010)
Flounder,flounder-winter,US-NY-Long Island Sound,0.037,14,(Rolfhus et al. 2008)
Flounder,flounder-winter,"(market, US-NYC)",0.032,1,(McKelvey et al. 2010; McKelvey unpublished data)
Flounder,flounder-witch,US,0.111,71,(Hall et al. 1978)
Flounder,flounder-witch,"(market, US-NYC)",0.025,1,(McKelvey et al. 2010; McKelvey unpublished data)
Flounder,flounder-yellowtail,US,0.463,22,(Hall et al. 1978)
Freshwater Perch,perch,"(market, US)",0.151,19,(USFDA 2011)
Freshwater Perch,perch,Russia,0.810,3,(Laperdina et al. 1997)
Freshwater Perch,perch,Canada - Ontario lakes,0.064,9,(Jackson 1991)
Freshwater Perch,"perch (yellow, white)","(market, Canada)",0.150,45,(Health Canada 2007)
Freshwater Perch,perch-european,Russia,0.538,64,(Haines et al. 1992)
Freshwater Perch,perch-nile (wild),Uganda (Lake Saka),0.014,9,(Campbell et al. 2006)
Freshwater Perch,perch-nile (wild) ,Lake Victoria (Africa),0.084,22,(Campbell et al. 2003a)
Freshwater Perch,perch-nile (wild) ,Kenya - Lake Turkana,0.093,3,(Campbell et al. 2003b)
Freshwater Perch,perch-nile (wild) ,Lake Victoria (Africa),0.089,22,(Ramlal et al. 2003)
Freshwater Perch,perch-white,US ,0.122,163,(USEPA 2011a)
Freshwater Perch,perch-white,US-Atlantic,0.126,12,"(Delaware River Basin Commission, 2011)"
Freshwater Perch,perch-white,US-Delaware,0.143,13,(State of Delaware 2010)
Freshwater Perch,perch-white,US-New Jersey,0.243,9,"(State of New Jersey 2004, 2008)"
Freshwater Perch,perch-white,US-Atlantic,0.100,18,(USEPA 2011b)
Freshwater Perch,perch-white,US-Maryland,0.143,18,(State of Maryland 2007)
Freshwater Perch,perch-white,US-Virginia,0.090,58,(State of Virginia 2009)
Freshwater Perch,perch-yellow,US,0.109,266,(USEPA 2011a)
Freshwater Perch,perch-yellow,Canada - Ontario lakes,0.130,67,(Ethier et al. 2008)
Freshwater Perch,perch-yellow,Canada - Ontario lakes,0.118,29,(Scheuhammer and Graham 1999)
Freshwater Perch,perch-yellow,Canada - Ontario lakes,0.081,15,(Kidd et al. 1995)
Freshwater Perch,perch-yellow,Canada-Lake Erie,0.070,30,(Kelso and Frank 1974)
Freshwater Perch,perch-yellow,US-Michigan,0.088,39,(State of Michigan 2011)
Freshwater Perch,perch-yellow,US ,0.116,280,(USEPA 2011a)
Freshwater Perch,perch-yellow,US-Michigan,0.088,39,(State of Michigan 2011)
Freshwater Perch,perch-yellow,US-Atlantic,0.110,1,"(Delaware River Basin Commission, 2011)"
Freshwater Perch,perch-yellow,US-Delaware,0.170,2,(State of Delaware 2010)
Freshwater Perch,perch-yellow,US-North Carolina,0.435,23,(State of North Carolina 2011)
Freshwater Perch,perch-yellow,US-Virginia,0.154,17,(State of Virginia 2009)
Grouper,grouper,"(market, Canada)",0.374,23,(Health Canada 2007)
Grouper,grouper,"(market, US)",0.341,25,(USFDA 2011)
Grouper,grouper,US,0.397,1,(USEPA 2011a)
Grouper,grouper,"(market, US-Chicago)",0.260,18,(Burger and Gochfeld 2006)
Grouper,grouper-black,"(market, US)",0.647,11,(USFDA 2011)
Grouper,grouper-black,Bermuda,0.870,8,(Dewailly et al. 2008)
Grouper,grouper-black,US,0.790,33,(Hall et al. 1978)
Grouper,grouper-black,US,0.593,2,(USEPA 2011a)
Grouper,grouper-black,US-Florida,0.963,12,(Adams et al. 2003)
Grouper,grouper-coney,Bermuda,0.210,29,(Dewailly et al. 2008)
Grouper,grouper-creole fish (Barber),Bermuda,0.035,12,(Dewailly et al. 2008)
Grouper,grouper-gag,US,0.514,30,(Hall et al. 1978)
Grouper,grouper-gag,US-Louisiana,0.313,7,(State of Louisiana 2011)
Grouper,grouper-gag,US,0.370,14,(USEPA 2011a)
Grouper,grouper-gag,US-Florida,0.397,97,(Adams et al. 2003)
Grouper,grouper-goliath,US-Florida,0.615,31,(Adams et al. 2003)
Grouper,grouper-graysby,Bermuda,0.160,1,(Dewailly et al. 2008)
Grouper,grouper-gulf,Mexico-Gulf of California,0.360,6,(Garcia-Hernandez et al. 2007)
Grouper,grouper-leopard,Mexico-Gulf of California,0.340,2,(Garcia-Hernandez et al. 2007)
Grouper,grouper-red,"(market, US)",0.463,15,(USFDA 2011)
Grouper,grouper-red,US,0.384,41,(Hall et al. 1978)
Grouper,grouper-red,US,0.355,3,(USEPA 2011a)
Grouper,grouper-red,US-Florida,0.328,49,(Adams et al. 2003)
Grouper,grouper-red hind,Bermuda,0.260,29,(Dewailly et al. 2008)
Grouper,grouper-scamp,US-Louisiana,0.366,10,(State of Louisiana 2011)
Grouper,grouper-scamp,US-South Atlantic,0.347,10,(Hall et al. 1978)
Grouper,grouper-scamp,US-Florida,0.298,29,(Adams et al. 2003)
Grouper,grouper-snowy,"(market, US)",1.080,1,(USFDA 2011)
Grouper,grouper-snowy,US,0.329,4,(USEPA 2011a)
Grouper,grouper-snowy,US-Florida,0.783,29,(Adams et al. 2003)
Grouper,grouper-speckled hind,US-South Atlantic,0.179,20,(Hall et al. 1978)
Grouper,grouper-spotted,Mexico-Gulf of California,0.270,6,(Garcia-Hernandez et al. 2007)
Grouper,grouper-strawberry (E),"(market, US)",0.072,1,(USFDA 2011)
Grouper,grouper-warsaw (E),US-Louisiana,0.321,5,(State of Louisiana 2011)
Grouper,grouper-warsaw (E),US,0.427,7,(USEPA 2011a)
Grouper,grouper-yellowedge,US-Louisiana,0.243,3,(State of Louisiana 2011)
Grouper,grouper-yellowedge,US-Florida,0.258,10,(Adams et al. 2003)
Grouper,grouper-yellowmouth (M),US,0.228,9,(Hall et al. 1978)
Haddock,haddock,"(market, Canada)",0.050,3,(Health Canada 2007)
Haddock,haddock,"(market, US)",0.055,50,(USFDA 2011)
Haddock,haddock,"(market, US)",0.070,20,(USFDA 2008)
Haddock,haddock,Barents Sea,0.066,4,(Zauke et al. 1999)
Haddock,haddock,Canada-Bay of Fundy,0.050,5,(Legrand et al. 2005)
Haddock,haddock,Ireland,0.085,4,(Tyrell et al. 2005)
Haddock,haddock,"(market, UK)",0.060,5,(Food Standards Agency 2006)
Haddock,haddock,Norway,0.020,25,(Julshamn et al. 2004)
Haddock,haddock,Scotland,0.042,7,(Davies 2012)
Haddock,haddock,Scotland,0.043,25,(Ministry of Agriculture Fisheries and Food 1998)
Haddock,haddock,US,0.381,78,(Hall et al. 1978)
Hake,hake,"(market, US)",0.094,40,(USFDA 2011)
Hake,hake-Argentine,Brazil,0.084,2,(Kutter et al. 2009)
Hake,hake-Argentine,South America,0.020,9,(Jokai et al. 2005)
Hake,hake-blue,US,0.235,9,(USEPA 2011a)
Hake,hake-Brazilian,Uruguay,0.042,13,(Viana et al. 2005)
Hake,hake-Pacific,US,0.107,49,(Hall et al. 1978)
Hake,hake-Pacific,US-Pacific,0.252,281,(Cutshall et al. 1978)
Hake,hake-Pacific,US,0.151,1,(USEPA 2011a)
Hake,hake-red,"(market, US)",0.015,3,(USFDA 2011)
Hake,hake-red,US,0.086,65,(Hall et al. 1978)
Hake,hake-red,US-Atlantic,0.075,3,(Gerhart 1977)
Hake,hake-red,US,0.105,2,(USEPA 2011a)
Hake,hake-silver,"(market, US)",0.015,4,(USFDA 2011)
Hake,hake-silver,US,0.047,83,(Hall et al. 1978)
Hake,hake-silver,US-Atlantic,0.046,3,(Gerhart 1977)
Hake,hake-spotted,US-North Atlantic,0.069,65,(Hall et al. 1978)
Hake,hake-spotted,US-Atlantic,0.062,3,(Gerhart 1977)
Hake,hake-spotted,US,0.098,6,(USEPA 2011a)
Hake,hake-white,"(market, Canada)",0.080,1,(Health Canada 2007)
Hake,hake-white,"(market, US)",0.027,2,(USFDA 2011)
Hake,hake-white,US,0.115,64,(Hall et al. 1978)
Hake,hoki,"(market, Japan)",0.269,2,(Japanese Ministry of Health 2003)
Hake,hoki,"(market, UK)",0.186,2,(Knowles et al. 2003)
Hake,whiting,"(market, US)",0.051,13,(USFDA 2011)
Hake,whiting,"(market, US-NJ)",0.030,14,(Burger and Gochfeld 2005)
Halibut,halibut,"(market, US)",0.241,101,(USFDA 2011)
Halibut,halibut,"(market, US-WA)",0.215,30,(USEPA 2005)
Halibut,halibut,"(market, Canada)",0.257,57,(Health Canada 2007)
Halibut,halibut-California,US,0.277,11,(USEPA 2011a)
Halibut,halibut-California,US-California,0.197,1,(Fairey et al. 1997)
Halibut,halibut-California,US-California,0.138,24,(USEPA Region 9 and NOAA 2007)
Halibut,halibut-California,US-California,0.355,25,(San Francisco Estuary Institute 2007)
Halibut,halibut-Greenland (turbot),Norway,0.090,50,(Julshamn et al. 2004)
Halibut,halibut-Greenland (turbot),Barents Sea,0.289,69,(Julshamn et al. 2006)
Halibut,halibut-Greenland (turbot),"(market, Japan)",0.090,1,(Japanese Ministry of Health 2003)
Halibut,halibut-Greenland (turbot),Greenland,0.040,10,(Riget et al. 2007)
Halibut,halibut-Greenland (turbot),Barents Sea,0.040,8,(Zauke et al. 1999)
Halibut,halibut-Pacific,"(market, US) - Alaska",0.169,20,(Butala et al. 2007)
Halibut,halibut-Pacific,US-Alaska,0.158,24,(Burger et al. 2007b)
Halibut,halibut-Pacific,US-Alaska & Canada-BC,0.214,1146,(Hall et al. 1976)
Halibut,halibut-Pacific,US-WA & OR,0.450,81,(Hall et al. 1976)
Halibut,halibut-Pacific,US-Alaska,0.290,1685,(State of Alaska Department of Environmental Conservation 2009)
Halibut,halibut-Pacific,US-Alaska,0.205,118,(International Pacific Halibut Commission 2003)
Halibut,halibut-Pacific,US,0.264,37,(Hall et al. 1978)
Halibut,halibut-red,"(market, Japan)",0.126,5,(Japanese Ministry of Health 2003)
Halibut,turbot,"(market, Canada)",0.090,9,(Health Canada 2007)
Halibut,turbot,Ireland,0.060,1,(Tyrell et al. 2005)
Halibut,turbot/flounder,Spain-Mediterranean Sea,0.073,5,(Arcos et al. 2002)
Halibut,turbot-Black Sea,Turkey-Black Sea,0.065,20,(Das et al. 2009)
Halibut,turbot-diamond,US,0.039,9,(USEPA 2011a)
Halibut,turbot-spotted,US,0.036,6,(USEPA 2011a)
Herring,herring,"(market, Canada)",0.060,35,(Health Canada 2007)
Herring,herring/sardine,Canada-Bay of Fundy,0.020,7,(Legrand et al. 2005)
Herring,herring-Atlantic,"(market, Poland)",0.053,60,(Usydus et al. 2009)
Herring,herring-Atlantic,Arctic,0.010,10,(Jaeger et al. 2009)
Herring,herring-Atlantic,Baltic Sea,0.026,71,(Barska and Skrzynski 2003)
Herring,herring-Atlantic,Baltic Sea,0.020,12,(Nfon et al. 2009)
Herring,herring-Atlantic,Poland,0.014,3,(Jokai et al. 2005)
Herring,herring-Atlantic,Canada-Bay of Fundy,0.010,54,(Braune 1987)
Herring,herring-Atlantic,Canada-Bay of Fundy,0.040,16,(Harding et al. 2005)
Herring,herring-Atlantic,Norway,0.035,50,(Julshamn et al. 2004)
Herring,herring-Atlantic,Poland (Baltic Sea),0.036,568,(Polak-Juszczak 2009)
Herring,herring-Atlantic,Scotland,0.043,5,(Davies 2012)
Herring,herring-Atlantic,Scotland,0.091,9,(Ministry of Agriculture Fisheries and Food 1998)
Herring,herring-Atlantic,US,0.045,95,(Hall et al. 1978)
Herring,herring-Atlantic,US-Atlantic,0.104,3,(Gerhart 1977)
Herring,herring-Atlantic,US-Maryland,0.079,1,(State of Maryland 2007)
Herring,herring-Atlantic,US,0.132,7,(USEPA 2011a)
Herring,herring-Atlantic,Finland,0.090,9,(Linko and Terho 1977)
Herring,herring-atlantic thread,US-Florida,0.150,8,(Adams et al. 2003)
Herring,herring-blueback,US,0.045,38,(USEPA 2011a)
Herring,herring-blueback,US-Virginia,0.096,1,(State of Virginia 2009)
Herring,herring-blueback,US-Virginia,0.321,1,(State of Virginia 2009)
Herring,herring-canned,"(market, US)",0.060,13,(Ikem and Egiebor 2005)
Herring,herring-Pacific,US-California,0.017,3,(Greenfield and Jahn 2010)
Herring,herring-Pacific,US-California,0.019,1,(San Francisco Estuary Institute 2007)
Herring,herring-Pacific,Canada,0.031,25,(Lockhart et al. 2005)
Herring,herring-Pacific,US,0.039,121,(USEPA 2011a)
Herring,herring-Pacific,US,0.140,44,(Hall et al. 1978)
Herring,herrings,"(market, UK)",0.030,7,(Food Standards Agency 2006)
Lingcod,lingcod,"(market, Canada)",0.080,1,(Health Canada 2007)
Lingcod,lingcod,"(market, Japan)",0.089,33,(Japanese Ministry of Health 2003)
Lingcod,lingcod,US-California,0.334,1,(USEPA 2011a)
Lingcod,lingcod,US-Alaska,0.148,5,(Bloom 1992)
Lingcod,lingcod,US-Pacific,0.286,78,(Hall et al. 1978)
Lingcod,lingcod,US-Alaska,0.440,215,(State of Alaska Department of Environmental Conservation 2009)
Lobster,lobster,Canada-Bay of Fundy,0.180,6,(Legrand et al. 2005)
Lobster,lobster,"(market, Canada)",0.090,59,(Health Canada 2007)
Lobster,lobster,Canada,0.096,3,(Kwoczek et al. 2006)
Lobster,lobster,"(market, Japan)",0.042,4,(Japanese Ministry of Health 2003)
Lobster,lobster,"(market, US)",0.175,62,(USFDA 2011)
Lobster,lobster-American,US,0.045,13,(USEPA 2008)
Lobster,lobster-American,US,0.167,10,(USEPA 2011a)
Lobster,lobster-American,US-New Jersey,0.159,9,(State of New Jersey 2004)
Lobster,lobster-American,US-NY-Long Island Sound,0.140,13,(Hammerschmidt and Fitzgerald 2006)
Lobster,lobster-American,"(market, US)",0.107,9,(USFDA 2011)
Lobster,lobster-American,US,0.249,88,(Hall et al. 1978)
Lobster,lobster-Japanese spiny,"(market, Japan)",0.070,2,(Japanese Ministry of Health 2003)
Lobster,lobster-southern rock,Australia,0.060,4,(Fabris et al. 2006)
Lobster,lobster-spiny,Bermuda,0.210,4,(Dewailly et al. 2008)
Lobster,lobster-spiny,"(market, US)",0.094,13,(USFDA 2011)
Lobster,lobster-spiny,US-Atlantic,0.096,40,(Hall et al. 1978)
Lobster,lobster-spiny,US-Pacific,0.064,5,(Hall et al. 1978)
Mackerel,mackerel,"(market, US)",0.092,3,(USFDA 2011)
Mackerel,mackerel,"(market, Spain)",0.090,3,(Domingo et al. 2007)
Mackerel,"mackerel (Spanish, king)","(market, Canada)",0.210,13,(Health Canada 2007)
Mackerel,mackerel-Atlantic,US,0.040,64,(USEPA 2011a)
Mackerel,mackerel-Atlantic,Scotland,0.073,8,(Davies 2012)
Mackerel,mackerel-Atlantic,Scotland,0.054,14,(Ministry of Agriculture Fisheries and Food 1998)
Mackerel,mackerel-Atlantic,Norway,0.033,75,(Julshamn et al. 2004)
Mackerel,mackerel-Atlantic,"(market, Japan)",0.270,4,(Nakagawa et al. 1997)
Mackerel,mackerel-Atlantic,"(market, Canada)",0.040,12,(Health Canada 2007)
Mackerel,mackerel-Atlantic,US,0.039,14,(Hall et al. 1978)
Mackerel,mackerel-canned,"(market, US)",0.036,12,(Ikem and Egiebor 2005)
Mackerel,mackerel-cero,US-Florida,0.150,1,(Adams et al. 2003)
Mackerel,mackerel-cero,US,0.264,1,(USEPA 2011a)
Mackerel,mackerel-chub,"(market, Hong Kong)",0.152,3,(Chung et al. 2008)
Mackerel,mackerel-chub,"(market, Japan)",0.116,78,(Japanese Ministry of Health 2003)
Mackerel,mackerel-chub (Pacific),"(market, Korea)",0.028,15,(Oh et al. 2008)
Mackerel,mackerel-chub (Pacific),US-California,0.088,30,(Hall et al. 1978)
Mackerel,mackerel-chub (Pacific),US-California,0.082,28,(USEPA Region 9 and NOAA 2007)
Mackerel,mackerel-jack,Japan,0.018,28,(Yamashita et al. 2005)
Mackerel,mackerel-jack (canned),"(market, US-IN)",0.056,2,(Shim et al. 2004)
Mackerel,mackerel-jack (Pacific),"(market, Japan)",0.320,6,(Nakagawa et al. 1997)
Mackerel,mackerel-jack (Pacific),"(market, Japan)",0.044,54,(Japanese Ministry of Health 2003)
Mackerel,mackerel-jack (Pacific),US-California,0.257,14,(Hall et al. 1978)
Mackerel,mackerel-jack (Pacific),"(market, Hong Kong)",0.042,3,(Chung et al. 2008)
Mackerel,mackerel-Japanese Spanish,"(market, Japan)",0.040,16,(Japanese Ministry of Health 2003)
Mackerel,mackerel-king,US-Florida,1.460,142,(Adams et al. 2003)
Mackerel,mackerel-king,US,1.100,205,(USEPA 2011a)
Mackerel,mackerel-king,US-Gulf (mostly),0.396,107,(Hall et al. 1978)
Mackerel,mackerel-king,US-Atlantic,0.940,143,(Adams and McMichael 2007)
Mackerel,mackerel-king,US-Gulf,1.510,136,(Adams and McMichael 2007)
Mackerel,mackerel-king,Suriname,0.110,5,(Mol et al. 2001)
Mackerel,mackerel-king,Mexico-GoM,0.180,3,(Santoyo et al. 2009)
Mackerel,mackerel-king,US-Gulf,0.960,39,(Cai et al. 2007)
Mackerel,mackerel-king,US-Louisiana,0.824,8,(State of Louisiana 2011)
Mackerel,mackerel-king,US-Louisiana,1.320,33,(State of Louisiana 2011)
Mackerel,mackerel-spanish,US-Florida,0.472,389,(Adams et al. 2003)
Mackerel,mackerel-Spanish,US,0.318,58,(USEPA 2011a)
Mackerel,mackerel-Spanish,US-Gulf,0.530,385,(Adams and McMichael 2007)
Mackerel,mackerel-Spanish,"(market, Canada)",0.342,1,(Del Gobbo et al. 2010)
Mackerel,mackerel-Spanish,US-Atlantic,0.320,195,(Adams and McMichael 2007)
Mackerel,mackerel-Spanish,"(market, US-NYC)",0.147,13,(McKelvey et al. 2010; McKelvey unpublished data)
Mackerel,mackerel-Spanish,US,0.361,109,(Hall et al. 1978)
Mackerel,mackerel-Spanish,US-Louisiana,0.277,1,(State of Louisiana 2011)
Mackerel,mackerel-Spanish,Fiji,0.230,17,(Kumar et al. 2004)
Mackerel,mackerel-Spanish (narrow barred),Malaysia,0.010,5,(Hajeb et al. 2009)
Mackerel,mackerel-Spanish (narrow barred),Malaysia,0.008,5,(Hajeb et al. 2010)
Mackerel,mackerel-Spanish (narrow barred),"(market, Malaysia)",0.080,5,(Rahman et al. 1997)
Mackerel,mackerel-Spanish (narrow barred),"(market, Hong Kong)",0.059,1,(Chung et al. 2008)
Marlin,marlin,"(market, US)",0.499,14,(USFDA 2011)
Marlin,marlin,"(market, Canada)",1.429,4,(Dabeka et al. 2004)
Marlin,marlin,"(market, Spain)",0.880,2,(Blanco et al. 2008)
Marlin,marlin,"(market, Canada)",0.679,166,(Health Canada 2007)
Marlin,marlin,"(market, UK)",1.100,7,(Knowles et al. 2003)
Marlin,marlin,"(market, Fiji)",0.470,19,(Kumar et al. 2004)
Marlin,marlin,"(market, Canada)",0.640,1,(Del Gobbo et al. 2010)
Marlin,marlin,"(market, Canada)",0.489,3,(Forsyth et al. 2004)
Marlin,marlin,Fiji,1.760,5,(Kumar et al. 2004)
Marlin,marlin-black,"(market, US)",0.390,1,(USFDA 2011)
Marlin,marlin-blue,US,1.400,1,(USEPA 2011a)
Marlin,marlin-blue,Bermuda,3.100,3,(Dewailly et al. 2008)
Marlin,marlin-blue,US-Hawaii,0.930,29,(Rivers et al. 1972)
Marlin,marlin-blue,US-Hawaii,0.400,46,(Shultz and Ito 1979)
Marlin,marlin-blue,"(market, US-WA)",0.680,10,(Bloom 1992)
Marlin,marlin-blue,Atlantic,0.240,7,(Yamashita et al. 2005)
Marlin,marlin-blue,Sumatra,0.190,6,(Kai et al. 1987)
Marlin,marlin-blue,US-Hawaii,2.380,50,(Kaneko and Ralston 2007)
Marlin,marlin-blue,Bermuda,5.316,13,(Luckhurst et al. 2006)
Marlin,marlin-blue,US-Hawaii,3.120,46,(National Marine Fisheries Service 1975)
Marlin,marlin-blue,US-Gulf,10.520,9,(Cai et al. 2007)
Marlin,marlin-blue,"(market, US)",0.390,1,(USFDA 2011)
Marlin,marlin-blue,US,4.590,33,(Hall et al. 1978)
Marlin,marlin-blue,US-Hawaii,1.616,20,"(State of Hawaii Department of Health, unpublished data)"
Marlin,marlin-blue,US-Florida,3.080,8,(Adams et al. 2003)
Marlin,marlin-Pacific blue,US-Hawaii,0.450,35,(Shultz and Crear 1976)
Marlin,marlin-Pacific blue,US-Hawaii,4.260,42,(Thieleke 1973)
Marlin,marlin-Pacific blue,Mexico-Gulf of California,0.360,5,(Garcia-Hernandez et al. 2007)
Marlin,marlin-striped,US,1.522,40,(Hall et al. 1978)
Marlin,marlin-striped,US-Hawaii,0.470,30,(Kaneko and Ralston 2007)
Marlin,marlin-striped,Mexico-Gulf of California,1.720,12,(Soto-Jimenez et al. 2010)
Marlin,marlin-striped,"(market, Japan)",0.780,5,(Endo and Haraguchi 2010)
Marlin,marlin-striped,Mexico-Gulf of California,0.140,5,(Garcia-Hernandez et al. 2007)
Marlin,marlin-striped,US-Pacific,0.800,56,(Shomura and Craig 1974)
Marlin,marlin-striped,Atlantic,0.390,7,(Yamashita et al. 2005)
Marlin,marlin-striped,"(market, Japan)",0.595,4,(Japanese Ministry of Health 2003)
Marlin,marlin-striped,US-Hawaii,0.197,20,"(State of Hawaii Department of Health, unpublished data)"
Marlin,marlin-white,US,0.270,1,(USEPA 2011a)
Marlin,marlin-white,US,0.718,53,(Hall et al. 1978)
Marlin,marlin-white,US-Florida,0.290,2,(Adams et al. 2003)
Monkfish,monkfish,"(market, Canada)",0.110,7,(Health Canada 2007)
Monkfish,monkfish,"(market, UK)",0.198,2,(Knowles et al. 2003)
Monkfish,monkfish,"(market, US-NC)",0.083,1,(Levine et al. 2005)
Monkfish,monkfish/goosefish,US,0.180,82,(Hall et al. 1978)
Mullet,mullet,Brazil,0.029,46,(Kehrig et al. 2001)
Mullet,mullet,Brazil,0.010,20,(Kehrig et al. 2001)
Mullet,mullet,Brazil,0.310,2,(De Marco et al. 2006)
Mullet,mullet,Brazil,0.012,4,(Kutter et al. 2009)
Mullet,mullet,Uruguay,0.054,43,(Viana et al. 2005)
Mullet,mullet,"(market, Japan)",0.006,17,(Japanese Ministry of Health 2003)
Mullet,mullet,"(market, US)",0.051,20,(USFDA 2011)
Mullet,mullet-common,"(market, Canada)",0.120,22,(Health Canada 2007)
Mullet,mullet-fantail,US-Florida,0.033,12,(Adams et al. 2003)
Mullet,mullet-grey,"(market, Hong Kong)",0.009,3,(Chung et al. 2008)
Mullet,mullet-striped,"(market, China)",0.090,3,(Cheung et al. 2008)
Mullet,mullet-striped,Morocco-Mediterranean Sea,0.096,24,(Elhamri et al. 2007)
Mullet,mullet-striped,US,0.048,121,(USEPA 2011a)
Mullet,mullet-striped,US,0.050,1,(USEPA 2011a)
Mullet,mullet-striped,US,0.050,155,(Hall et al. 1978)
Mullet,mullet-striped,US-Virginia,0.107,2,(State of Virginia 2009)
Mullet,mullet-striped,US-Virginia,0.022,3,(State of Virginia 2009)
Mullet,mullet-striped,US-Florida,0.061,71,(Adams et al. 2003)
Mullet,mullet-white,US-South Atlantic,0.026,36,(Hall et al. 1978)
Mullet,mullet-white,US-Florida,0.043,33,(Adams et al. 2003)
Mussels,mussel-blue,US-Rhode Island,0.015,160,(Piraino and Taylor 2009)
Mussels,mussel-Pacific blue,US-Alaska,0.018,23,(State of Alaska Department of Environmental Conservation 2009)
Mussels,mussel-Pacific blue,US-Alaska,0.016,148,(Burger et al. 2007b)
Mussels,mussels,"(market, Canada)",0.021,17,(Dabeka et al. 2004)
Mussels,mussels,"(market, Japan)",0.020,1,(Japanese Ministry of Health 2003)
Mussels,mussels,"(market, Hong Kong China)",0.015,40,(Tam and Mok 1991)
Mussels,mussels,New Zealand,0.027,3,(Kwoczek et al. 2006)
Mussels,mussels,US,0.064,30,(USEPA 2011a)
Mussels,mussels-Atlantic,"(market, Canada)",0.013,2,(Dabeka et al. 2004)
Mussels,mussels-blue,Canada-Bay of Fundy,0.020,32,(Legrand et al. 2005)
Mussels,mussels-blue,"(market, Canada)",0.030,74,(Health Canada 2007)
Mussels,mussels-blue,US-Oregon,0.016,24,(Caldwell and Buhler 1983)
Mussels,mussels-blue,US-Maine,0.041,75,(NOAA 2008)
Mussels,mussels-blue,US-Virginia,0.015,1,(State of Virginia 2009)
Mussels,mussels-blue,US,0.085,2,(USEPA 2011a)
Mussels,mussels-California,US-Oregon,0.020,6,(Caldwell and Buhler 1983)
Mussels,mussels-California,US,0.055,93,(USEPA 2011a)
Mussels,mussels-green,New Zealand,0.038,24,(Whyte et al. 2009)
Ocean Perch,perch-ocean,"(market, US)",0.122,31,(USFDA 2011)
Ocean Perch,perch-ocean,"(market, Italy)",0.096,3,(Plessi et al. 2001)
Ocean Perch,perch-ocean (redfish),US-North Atlantic,0.153,80,(Hall et al. 1978)
